date,MG,billed_kWh,kW,total_kWh, Operation_bill 
40602.00,20.9,30200.8,1321.6,30200.8,40167.06
40603.00,20.54,29915.2,1321.6,29915.2,39787.22
40604.00,18.24,29299.2,1276.8,29299.2,38967.94
40605.00,14.26,27389.6,1265.6,27389.6,36428.17
40606.00,14.49,31460.8,1590.4,31460.8,41842.86
40607.00,22.67,44956.8,2060.8,44956.8,59792.54
40608.00,24.15,38500,1747.2,38500,51205.00
40609.00,25.74,31410.4,1400,31410.4,41775.83
40610.00,25.15,28968.8,1355.2,28968.8,38528.50
40611.00,23.41,31483.2,1456,31483.2,41872.66
40612.00,20.89,35442.4,1579.2,35442.4,47138.39
40613.00,22.13,33437.6,1579.2,33437.6,44472.01
40614.00,18.95,29556.8,1310.4,29556.8,39310.54
40615.00,11.71,26891.2,1153.6,26891.2,35765.30
40616.00,11.73,24886.4,1097.6,24886.4,33098.91
40617.00,10.45,24903.2,1142.4,24903.2,33121.26
40618.00,10.5,25620,1142.4,25620,34074.60
40619.00,9.56,24136,1064,24136,32100.88
40620.00,9.3,24970.4,1131.2,24970.4,33210.63
40621.00,9.58,24124.8,1064,24124.8,32085.98
40622.00,10.48,21476,1164.8,21476,28563.08
40623.00,10.72,27316.8,1198.4,27316.8,36331.34
40624.00,10.45,27098.4,1232,27098.4,36040.87
40625.00,10.26,26460,1209.6,26460,35191.80
40626.00,9.06,25771.2,1131.2,25771.2,34275.70
40627.00,8.79,24124.8,1075.2,24124.8,32085.98
40628.00,7.99,24057.6,1030.4,24057.6,31996.61
40629.00,7.93,24640,1164.8,24640,32771.20
40630.00,9.68,22472.8,1120,22472.8,29888.82
40631.00,8.23,23755.2,1041.6,23755.2,31594.42
40632.00,8.22,22976.8,1030.4,22976.8,30559.14
40633.00,7.22,22708,996.8,22708,30201.64
40634.00,7.8,23564.8,1041.6,23564.8,31341.18
40635.00,7.22,24432.8,1120,24432.8,32495.62
40636.00,6.69,23038.4,1075.2,23038.4,30641.07
40637.00,14.87,24925.6,1142.4,24925.6,33151.05
40638.00,16.41,24740.8,1108.8,24740.8,32905.26
40639.00,10.06,24561.6,1108.8,24561.6,32666.93
40640.00,10.38,24248,1153.6,24248,32249.84
40641.00,10.11,23564.8,1041.6,23564.8,31341.18
40642.00,10.66,25093.6,1243.2,25093.6,33374.49
40643.00,16.78,23268,1075.2,23268,30946.44
40644.00,16.35,29366.4,1433.6,29366.4,39057.31
40645.00,17.88,24001.6,1187.2,24001.6,31922.13
40646.00,20.8,26252.8,1254.4,26252.8,34916.22
40647.00,18.73,26325.6,1187.2,26325.6,35013.05
40648.00,17.1,25452,1142.4,25452,33851.16
40649.00,18.78,23984.8,1209.6,23984.8,31899.78
40650.00,14.63,27092.8,1176,27092.8,36033.42
40651.00,12.57,27339.2,1366.4,27339.2,36361.14
40652.00,18.29,30245.6,1377.6,30245.6,40226.65
40653.00,28.61,33952.8,1702.4,33952.8,45157.22
40654.00,28.78,28812,1276.8,28812,38319.96
40655.00,28.52,28985.6,1276.8,28985.6,38550.85
40656.00,30.95,31684.8,1657.6,31684.8,42140.78
40657.00,36.83,26247.2,1288,26247.2,34908.78
40658.00,39.12,28145.6,1411.2,28145.6,37433.65
40659.00,39.72,30984.8,1456,30984.8,41209.78
40660.00,34.21,31920,1512,31920,42453.60
40661.00,25.51,28095.2,1232,28095.2,37366.62
40662.00,18.87,26706.4,1232,26706.4,35519.51
40663.00,25.67,29254.4,1321.6,29254.4,38908.35
40664.00,26.48,29792,1366.4,29792,39623.36
40665.00,31.74,33185.6,1545.6,33185.6,44136.85
40666.00,37.88,30324,1523.2,30324,40330.92
40667.00,38.13,30962.4,1366.4,30962.4,41179.99
40668.00,34.79,30710.4,1377.6,30710.4,40844.83
40669.00,31.04,29808.8,1332.8,29808.8,39645.70
